NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0020425,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3668915,535864,2025-01-01T03:16:49.917000,2025-01-01T05:34:55.613000,2025-01-01T05:44:40.287000,2025-01-01T05:49:09.937000,GOA,GONE ON ARRIVAL,N,6N02,S Carrollton Av & I-10 E,70119,6,POINT (-90.10766023 29.96781681)
A0020525,108,"OFFICER NEEDS ASSISTANCE, LIFE IN DANGER",3C,20F,AUTO ACCIDENT FATALITY,2D,3681431,531545,2025-01-01T03:17:44.287000,2025-01-01T03:21:05.773000,2025-01-01T03:33:48.120000,2025-01-02T20:47:49.470000,RTF,REPORT TO FOLLOW,N,8D04,003XX Bourbon St,70112,8,POINT (-90.06828658 29.95556877)
A0020625,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3667599,534219,2025-01-01T03:19:16.307000,,2025-01-01T03:19:16.307000,2025-01-01T03:25:46.853000,NAT,Necessary Action Taken,Y,2U04,034XX S Carrollton Av,70125,2,POINT (-90.1118739 29.96333454)
A0020725,21N,NOISE COMPLAINT,1G,103,DISTURBANCE (OTHER),2D,3712062,557061,2025-01-01T03:20:04.130000,,,2025-01-01T03:22:04.707000,NAT,Necessary Action Taken,N,7J02,049XX Sandalwood St,70127,7,POINT (-89.97060702 30.02476261)
A0020825,27-67A,ATTEMPTED AUTO THEFT,1,67A,AUTO THEFT,1D,3704911,511802,2025-01-01T03:20:15.187000,,2025-01-01T06:21:15.973000,2025-01-01T06:21:35.343000,RTF,REPORT TO FOLLOW,N,4D05,11Blk Cypress Grove Ct,70131,4,POINT (-89.99487276 29.90054888)
A0020925,58,RETURN FOR ADDITIONAL INFO,1I,58,RETURN FOR ADDITIONAL INFO,1I,3677750,526322,2025-01-01T03:20:54.620000,,2025-01-01T03:20:54.620000,2025-01-01T03:37:22.233000,NAT,Necessary Action Taken,Y,6H02,019XX Mlk Blvd,70113,6,POINT (-90.0800902 29.94131887)
A0021025,20,AUTO ACCIDENT,1C,20,AUTO ACCIDENT,1C,3692967,522052,2025-01-01T03:21:34.690000,,2025-01-01T06:21:37.590000,2025-01-01T06:25:05.833000,GOA,GONE ON ARRIVAL,N,4B02,General De Gaulle Dr & Florence Av,70114,4,POINT (-90.03220001 29.92911012)
A0021125,94,DISCHARGING FIREARM,1,94,DISCHARGING FIREARM,2C,3680589,531663,2025-01-01T03:23:48.213000,,,2025-01-01T17:50:34.817000,DUP,DUPLICATE,N,8D01,Iberville St & Burgundy St,70112,8,POINT (-90.07093889 29.95591852)
A0021225,98,DRIVING WHILE UNDER INFLUENCE,2C,98,DRIVING WHILE UNDER INFLUENCE,2C,3675650,527325,2025-01-01T03:26:52.450000,2025-01-01T03:29:34.447000,2025-01-01T03:31:48.313000,2025-01-01T03:39:20.623000,GOA,GONE ON ARRIVAL,N,6J01,018XX Magnolia St,70113,6,POINT (-90.08668424 29.94413737)
A0021325,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3669039,544152,2025-01-01T03:27:04.663000,2025-01-01T03:27:04.663000,,2025-01-01T03:29:05.577000,NAT,Necessary Action Taken,N,3I01,008XX Hidalgo St,70124,3,POINT (-90.10699025 29.99060193)
A0021425,34S,AGGRAVATED BATTERY BY SHOOTING,1,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3681378,531515,2025-01-01T03:28:41.857000,2025-01-01T05:48:42.090000,2025-01-01T05:57:03.437000,2025-01-01T06:28:44.903000,DUP,DUPLICATE,N,8D04,Bienville St & Bourbon St,70112,8,POINT (-90.06845272 29.95548763)
A0021525,29ST,SUICIDE THREAT,1,29ST,SUICIDE THREAT,2D,37369000,3513814,2025-01-01T03:30:45.437000,2025-01-02T08:39:32.507000,2025-01-02T08:52:25.433000,2025-01-02T09:01:17.560000,GOA,GONE ON ARRIVAL,N,8.00E+01,007XX Dauphine St,70116,8,POINT (0 0)
A0021625,56,SIMPLE CRIMINAL DAMAGE,1,56,SIMPLE CRIMINAL DAMAGE,0,3678860,544224,2025-01-01T03:31:21.807000,2025-01-01T05:38:45.747000,,2025-01-01T06:01:21.747000,GOA,GONE ON ARRIVAL,N,3L01,St Bernard Av & Frey Pl,70119,3,POINT (-90.07596439 29.99050771)
A0021725,103F,FIGHT,2D,34,AGGRAVATED BATTERY,2C,3686753,558728,2025-01-01T03:31:33.513000,2025-01-01T04:00:50.697000,2025-01-01T04:19:49.070000,2025-01-01T04:51:17.833000,GOA,GONE ON ARRIVAL,N,3S05,068XX Franklin Av,70148,3,POINT (-90.05052065 30.03014911)
A0021825,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3676736,523533,2025-01-01T03:32:23.967000,2025-01-01T03:34:26.903000,2025-01-01T03:41:37.263000,2025-01-01T03:48:59.473000,GOA,GONE ON ARRIVAL,N,6Q05,1st St & Carondelet St,70130,6,POINT (-90.08338784 29.93367803)
A0021925,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3670562,551865,2025-01-01T03:34:24.637000,2025-01-01T03:34:24.637000,,2025-01-01T04:01:10.060000,NAT,Necessary Action Taken,N,3J01,Argonne Blvd & Filmore Av,70124,3,POINT (-90.10191743 30.01176583)
A0022025,67,THEFT,1G,67,THEFT,1G,3710371,562010,2025-01-01T03:35:50.827000,2025-01-01T03:55:56.853000,2025-01-01T04:08:14.270000,2025-01-01T06:48:22.310000,RTF,REPORT TO FOLLOW,N,7I06,100XX N I-10 Service Rd,70127,7,POINT (-89.9757633 30.03842546)
A0022125,100,HIT & RUN,1,100,HIT & RUN,1C,3685619,537922,2025-01-01T03:35:58.600000,,2025-01-01T07:23:27.887000,2025-01-01T07:29:05.547000,GOA,GONE ON ARRIVAL,N,5B03,015XX Mandeville St,70117,5,POINT (-90.05483832 29.97297436)
A0022225,21,COMPLAINT OTHER,1J,24,MEDICAL,2D,3681869,531481,2025-01-01T03:36:26.140000,,2025-01-01T03:36:26.140000,2025-01-01T03:39:38.363000,NAT,Necessary Action Taken,Y,8C02,003XX Royal St,70130,8,POINT (-90.06690499 29.95537994)
A0022325,107,SUSPICIOUS PERSON,2D,107,SUSPICIOUS PERSON,2D,3683370,534129,2025-01-01T03:41:56.337000,,2025-01-01T04:45:52.533000,2025-01-01T05:51:22.583000,GOA,GONE ON ARRIVAL,N,8.00E+02,Bourbon St & Governor Nicholls St,70116,8,POINT (-90.06207349 29.9626137)
A0022425,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3668573,536687,2025-01-01T03:43:21.527000,,2025-01-01T04:04:08.647000,2025-01-01T04:23:56.730000,NAT,Necessary Action Taken,N,3D01,S Hennessey St & Tulane Av,70119,3,POINT (-90.10871235 29.97008988)
A0022525,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3668102,543871,2025-01-01T03:44:25.243000,2025-01-01T03:44:25.243000,2025-01-01T03:46:14.710000,2025-01-01T04:25:33.347000,NAT,Necessary Action Taken,N,3.00E+01,Canal Blvd & Navarre Av,70124,3,POINT (-90.1099599 29.9898592)
A0022625,100I,HIT & RUN WITH INJURIES,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3678104,527627,2025-01-01T03:45:10.293000,2025-01-01T03:46:50.243000,2025-01-01T03:56:06.017000,2025-01-01T06:45:13.487000,RTF,REPORT TO FOLLOW,N,6H03,Earhart Blvd & Simon Bolivar Av,70113,6,POINT (-90.07892709 29.94489562)
A0022725,100,HIT & RUN,1,100,HIT & RUN,1C,3692602,537005,2025-01-01T03:46:31.250000,,2025-01-01T06:43:46.483000,2025-01-01T06:45:18.690000,GOA,GONE ON ARRIVAL,N,5D03,015XX Mazant St,70117,5,POINT (-90.03281528 29.97023737)
A0022825,103F,FIGHT,2D,21,COMPLAINT OTHER,1J,3680295,531303,2025-01-01T03:47:29.697000,,2025-01-01T03:47:29.697000,2025-01-01T05:06:58.140000,RTF,REPORT TO FOLLOW,Y,8I02,Roosevelt Way & Canal St,70112,8,POINT (-90.07188143 29.95493647)
A0022925,62A,"BURGLAR ALARM, SILENT",2C,62A,"BURGLAR ALARM, SILENT",2C,3663632,524751,2025-01-01T03:48:50.903000,2025-01-01T03:51:03.027000,2025-01-01T04:00:07.133000,2025-01-01T04:58:24.780000,NAT,Necessary Action Taken,N,2H03,X Newcomb Blvd,70118,2,POINT (-90.12471499 29.93741442)
A0023025,21,COMPLAINT OTHER,1J,44,AGGRAVATED KIDNAPPING,2C,3681093,531732,2025-01-01T03:49:01.853000,,,2025-01-01T17:52:37.220000,NAT,Necessary Action Taken,N,8D02,Dauphine St & Bienville St,70112,8,POINT (-90.06934756 29.95609181)
A0023125,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3666625,533428,2025-01-01T03:53:38.443000,,2025-01-01T03:53:38.443000,2025-01-01T03:53:54.017000,NAT,Necessary Action Taken,Y,2T03,S Carrollton Av & Earhart Blvd,70118,2,POINT (-90.11497584 29.96118565)
A0023225,63,PROWLER,2,63,PROWLER,2D,3681312,531478,2025-01-01T03:53:56.197000,,,2025-01-01T04:42:20.043000,GOA,GONE ON ARRIVAL,N,8D04,002XX Bourbon St,70112,8,POINT (-90.06866522 29.9553884)
A0023325,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3670151,547125,2025-01-01T03:57:03.260000,,2025-01-01T03:57:03.260000,2025-01-01T04:01:42.317000,NAT,Necessary Action Taken,Y,3I04,Argonne Blvd & Polk St,70124,3,POINT (-90.10337647 29.9987442)
A0023425,103M,MENTAL PATIENT,2C,103M,MENTAL PATIENT,2C,37369000,3513814,2025-01-01T03:59:37.060000,2025-01-01T04:03:26.650000,2025-01-01T04:11:35.413000,2025-01-01T06:00:59.933000,NAT,Necessary Action Taken,N,6C01,Calliope St & Constance St,70130,6,POINT (0 0)
A0023525,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,1D,3702573,555563,2025-01-01T04:00:49.300000,,,2025-01-01T04:03:19.827000,NAT,Necessary Action Taken,N,7.00E+01,048XX Rosemont Pl,70126,7,POINT (-90.00064612 30.02094969)
A0023625,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3669649,552280,2025-01-01T04:02:21.707000,,2025-01-01T04:02:21.707000,2025-01-01T04:35:16.217000,NAT,Necessary Action Taken,Y,3J03,067XX Blk Memphis St,70124,3,POINT (-90.10478615 30.01293466)
A0023725,62A,"BURGLAR ALARM, SILENT",1,ALRMCB,ALARM: COMMERCIAL - BURGLARY,2,3680416,528530,2025-01-01T04:02:41.267000,2025-01-01T21:39:33.843000,2025-01-01T21:52:04.913000,2025-01-01T22:04:55.807000,NAT,Necessary Action Taken,N,8H01,007XX Girod St,70130,8,POINT (-90.07159411 29.9473075)
A0023825,103D,DOMESTIC DISTURBANCE,2C,35D,SIMPLE BATTERY DOMESTIC,2C,3681293,537934,2025-01-01T04:05:02.543000,2025-01-01T04:06:44.690000,2025-01-01T04:11:12.180000,2025-01-01T06:24:25.253000,RTF,REPORT TO FOLLOW,N,1B01,018XX Laharpe St,70116,1,POINT (-90.06849858 29.97314088)
A0023925,29,DEATH,1D,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3661995,530986,2025-01-01T04:06:46.860000,2025-01-01T04:09:01.093000,2025-01-01T04:12:39.020000,2025-01-01T07:05:58.737000,RTF,REPORT TO FOLLOW,N,2K03,017XX Leonidas St,70118,2,POINT (-90.129677 29.95460526)
A0024025,20I,AUTO ACCIDENT WITH INJURY,2D,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3684638,533924,2025-01-01T04:12:58.397000,2025-01-01T04:20:42.947000,2025-01-01T04:35:06.223000,2025-01-01T06:30:58.290000,RTF,REPORT TO FOLLOW,N,8.00E+05,Esplanade Av & Decatur St,70116,8,POINT (-90.05807603 29.96201054)
A0024125,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3664387,549671,2025-01-01T04:18:35.117000,,2025-01-01T04:18:35.117000,2025-01-01T05:59:50.240000,NAT,Necessary Action Taken,Y,3B03,W Harrison Av & Bellaire Dr,70124,3,POINT (-90.12149812 30.0059138)
A0024225,94,DISCHARGING FIREARM,1,94,DISCHARGING FIREARM,2D,3695416,534344,2025-01-01T04:18:50.250000,,,2025-01-01T04:22:16.363000,VOI,VOID,N,5.00E+01,049XX St Claude Av,70117,5,POINT (-90.02402379 29.96283157)
A0024325,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3670488,541041,2025-01-01T04:24:04.630000,,2025-01-01T04:44:55.230000,2025-01-01T04:58:44.777000,NAT,Necessary Action Taken,N,3H01,Toulouse St & N Olympia St,70119,3,POINT (-90.10251625 29.98200646)
A0024425,66,EXTORTION (THREATS),1A,66,EXTORTION (THREATS),2F,3682555,542476,2025-01-01T04:24:57.087000,,2025-01-01T05:40:45.710000,2025-01-01T06:42:21.033000,GOA,GONE ON ARRIVAL,N,5K03,019XX Duels St,70119,5,POINT (-90.06435559 29.98558927)
A0024525,21M,MISSING ADULT,1,21M,MISSING ADULT,1C,3681583,531412,2025-01-01T04:29:26.300000,,,2025-01-01T15:10:08.893000,GOA,GONE ON ARRIVAL,N,8D04,007XX Bienville St,70130,8,POINT (-90.06781012 29.95519738)
A0024625,107,SUSPICIOUS PERSON,1,66,EXTORTION (THREATS),2F,3697291,535797,2025-01-01T04:30:23.093000,2025-01-01T07:31:35.523000,,2025-01-01T07:34:27.183000,GOA,GONE ON ARRIVAL,N,5.00E+02,N Claiborne Av & Egania St,70117,5,POINT (-90.0180512 29.9667677)
A0024725,58R,RECOVERY OF REPORTED STOLEN VEHICLE,1I,67A,AUTO THEFT,0,3738068,565378,2025-01-01T04:30:31.873000,,2025-01-01T14:51:01.393000,2025-01-01T18:29:39.897000,NAT,Necessary Action Taken,N,7M03,162XX Chef Menteur Hwy,70129,7,POINT (-89.88810253 30.04675473)
A0024825,35D,SIMPLE BATTERY DOMESTIC,2C,35D,SIMPLE BATTERY DOMESTIC,2C,3674020,532508,2025-01-01T04:31:16.323000,2025-01-01T04:35:12.327000,2025-01-01T04:43:11.410000,2025-01-01T07:08:20.947000,RTF,REPORT TO FOLLOW,N,1G02,026XX Poydras St,70119,1,POINT (-90.09165508 29.958439)
A0024925,21,COMPLAINT OTHER,1J,21M,MISSING ADULT,1C,3691207,538638,2025-01-01T04:34:05.223000,2025-01-01T04:55:10.663000,2025-01-01T04:34:05.223000,2025-01-01T05:37:16.807000,NAT,Necessary Action Taken,Y,5H01,N Prieur St & Gallier St,70117,5,POINT (-90.0371639 29.97476978)
A0025025,67,THEFT,0,67,THEFT,0,3698553,536860,2025-01-01T04:34:11.940000,,2025-01-01T05:24:50.140000,2025-01-01T06:27:16.487000,RTF,REPORT TO FOLLOW,N,5I04,019XX Flood St,70117,5,POINT (-90.01402651 29.96965225)
A0025125,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3669458,549079,2025-01-01T04:35:38.853000,,2025-01-01T04:35:38.853000,2025-01-01T04:45:12.557000,NAT,Necessary Action Taken,Y,3I04,008XX Harrison Av,70124,3,POINT (-90.10549977 30.00413905)
A0025325,107,SUSPICIOUS PERSON,1,107,SUSPICIOUS PERSON,2D,3678029,519349,2025-01-01T04:37:21.293000,2025-01-01T05:32:59.457000,2025-01-01T05:38:12.453000,2025-01-01T05:38:47.160000,GOA,GONE ON ARRIVAL,N,6A01,Washington Av & St Thomas St,70130,6,POINT (-90.07945057 29.92213571)
A0025425,62A,"BURGLAR ALARM, SILENT",1,62A,"BURGLAR ALARM, SILENT",2C,3712082,563713,2025-01-01T04:39:16.330000,,,2025-01-01T04:50:24.947000,NAT,Necessary Action Taken,N,7I07,110XX Yardley Rd,70127,7,POINT (-89.97029508 30.04305072)
A0025525,107,SUSPICIOUS PERSON,2C,35,SIMPLE BATTERY,1F,3674792,528125,2025-01-01T04:39:18.697000,,2025-01-01T05:41:03.917000,2025-01-01T05:41:53.910000,GOA,GONE ON ARRIVAL,N,6L01,020XX S Claiborne Av,70125,6,POINT (-90.08936566 29.94636524)
A0025625,21J,MISSING JUVENILE,1C,21J,MISSING JUVENILE,1C,37369000,3513814,2025-01-01T04:44:42.987000,2025-01-01T11:27:55.707000,2025-01-01T11:48:23.427000,2025-01-01T11:58:04.103000,GOA,GONE ON ARRIVAL,N,7D02,077XX Mill St,70126,7,POINT (0 0)
A0025725,MISC,MISCELLANEOUS COMPLAINT,1,MISC,MISCELLANEOUS COMPLAINT,1,0,0,2025-01-01T04:44:46.780000,,2025-01-01T04:44:46.780000,2025-01-01T05:15:34.960000,NAT,Necessary Action Taken,Y,None,Florida & Gen Haig,None,0,POINT (0 0)
A0025825,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3670133,550580,2025-01-01T04:45:34.880000,,2025-01-01T04:45:34.880000,2025-01-01T05:15:13.297000,NAT,Necessary Action Taken,Y,3J01,Marshal Foch St & Lane St,70124,3,POINT (-90.10331439 30.0082452)
A0025925,100,HIT & RUN,1,100I,HIT & RUN WITH INJURIES,2C,3678137,531820,2025-01-01T04:50:37.793000,,2025-01-01T07:05:17.167000,2025-01-01T07:12:13.590000,GOA,GONE ON ARRIVAL,N,8J03,Tulane Av & S Robertson St,70112,8,POINT (-90.07867615 29.95642319)
A0026025,35D,SIMPLE BATTERY DOMESTIC,2C,35D,SIMPLE BATTERY DOMESTIC,2C,3664282,529833,2025-01-01T04:56:02.267000,2025-01-01T04:58:12.500000,2025-01-01T05:04:26.873000,2025-01-01T05:15:02.253000,GOA,GONE ON ARRIVAL,N,2L03,019XX Fern St,70118,2,POINT (-90.1224942 29.95136926)
A0026125,103D,DOMESTIC DISTURBANCE,2C,35,SIMPLE BATTERY,2E,3674943,525071,2025-01-01T04:56:30.673000,2025-01-01T05:05:03.423000,2025-01-01T05:13:34.813000,2025-01-01T06:44:48.480000,RTF,REPORT TO FOLLOW,N,6F02,023XX 3rd St,70113,6,POINT (-90.08899404 29.93796089)
A0026225,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3692450,550207,2025-01-01T04:56:37.747000,2025-01-01T04:56:37.747000,2025-01-01T05:18:00.720000,2025-01-01T05:19:52.400000,NAT,Necessary Action Taken,N,3U02,048XX Blk Chef Menteur Hwy,70126,3,POINT (-90.03282247 30.00654316)
A0026325,100I,HIT & RUN WITH INJURIES,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3677708,531994,2025-01-01T04:57:02.157000,2025-01-01T05:13:05.290000,2025-01-01T07:15:01.080000,2025-01-01T08:55:46.793000,RTF,REPORT TO FOLLOW,N,1G01,Tulane Av & S Claiborne Av,70112,1,POINT (-90.08002711 29.95691517)
A0026425,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3671588,539425,2025-01-01T04:58:51.427000,,2025-01-01T05:20:08.273000,2025-01-01T05:30:06.530000,NAT,Necessary Action Taken,N,3H01,David St & Conti St,70119,3,POINT (-90.09909755 29.97753097)
A0026525,62A,"BURGLAR ALARM, SILENT",1,62A,"BURGLAR ALARM, SILENT",2C,3697165,560113,2025-01-01T05:01:22.530000,2025-01-01T05:29:54.387000,2025-01-01T05:32:38.433000,2025-01-01T06:35:39.973000,NAT,Necessary Action Taken,N,7D07,078XX Masefield St,70126,7,POINT (-90.01756802 30.03363308)
A0026625,94F,FIREWORKS,2J,103,DISTURBANCE (OTHER),1C,3707258,558900,2025-01-01T05:01:53.027000,2025-01-01T05:03:16.680000,,2025-01-01T05:03:21.157000,NAT,Necessary Action Taken,N,7R04,067XX Cindy Pl,70127,7,POINT (-89.9857181 30.02997528)
A0026725,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3681924,532346,2025-01-01T05:02:21.480000,,,2025-01-02T00:30:29.743000,NAT,Necessary Action Taken,N,8D05,005XX Bourbon St,70112,8,POINT (-90.06670086 29.95775426)
A0026825,21,COMPLAINT OTHER,1J,62R,RESIDENCE BURGLARY,1E,3668546,523604,2025-01-01T05:04:28.403000,2025-01-01T05:31:19.323000,2025-01-01T05:36:42.250000,2025-01-01T06:01:03.053000,NAT,Necessary Action Taken,N,2I03,022XX Soniat St,70115,2,POINT (-90.10924085 29.93411832)
A0026925,62A,"BURGLAR ALARM, SILENT",1,62A,"BURGLAR ALARM, SILENT",2C,3673910,525887,2025-01-01T05:09:48.007000,2025-01-01T05:29:41.503000,2025-01-01T05:34:44.963000,2025-01-01T05:56:17.253000,NAT,Necessary Action Taken,N,6I02,027XX Magnolia St,70113,6,POINT (-90.09222815 29.94023675)
A0027025,21,COMPLAINT OTHER,1J,107,SUSPICIOUS PERSON,1D,3696040,517931,2025-01-01T05:09:57.517000,2025-01-01T10:18:30.820000,,2025-01-01T10:18:36.990000,NAT,Necessary Action Taken,N,4C02,037XX Garden Oaks Dr,70114,4,POINT (-90.02264638 29.91768313)
A0027125,21,COMPLAINT OTHER,1J,21P,LOST PROPERTY,0,3682580,531059,2025-01-01T05:13:28.890000,2025-01-01T06:20:05.590000,,2025-01-01T06:20:40.927000,NAT,Necessary Action Taken,N,8B02,N Peters St & Conti St,70130,8,POINT (-90.06467554 29.95419577)
A0027225,21M,MISSING ADULT,1,21M,MISSING ADULT,1C,3683748,534550,2025-01-01T05:15:03.107000,,,2025-01-01T05:28:26.857000,VOI,VOID,N,8.00E+02,007XX Esplanade Av,70116,8,POINT (-90.06086404 29.96376068)
A0027325,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3669091,554655,2025-01-01T05:15:42.597000,,2025-01-01T05:15:42.597000,2025-01-01T05:45:16.690000,NAT,Necessary Action Taken,Y,3F02,Allen Toussaint Blvd & Canal Blvd,70124,3,POINT (-90.10647068 30.01948118)
A0027425,MISC,MISCELLANEOUS COMPLAINT,1,MISC,MISCELLANEOUS COMPLAINT,1,0,0,2025-01-01T05:17:12.203000,,2025-01-01T05:17:12.203000,2025-01-01T05:38:23.877000,NAT,Necessary Action Taken,Y,None,W Park & S Park,None,0,POINT (0 0)
A0027525,21,COMPLAINT OTHER,1J,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3669137,540536,2025-01-01T05:17:26.460000,2025-01-01T05:34:45.637000,2025-01-01T05:55:25.740000,2025-01-01T06:50:36.737000,NAT,Necessary Action Taken,N,3H01,002XX N Bernadotte St,70119,3,POINT (-90.10680246 29.98065793)
A0027625,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3676785,551661,2025-01-01T05:19:28.383000,,2025-01-01T05:19:28.383000,2025-01-01T06:26:52.020000,NAT,Necessary Action Taken,Y,3N01,St Bernard Av & Filmore Av,70122,3,POINT (-90.08226326 30.01101901)
A0027725,21,COMPLAINT OTHER,1,103,DISTURBANCE (OTHER),1C,3682506,529309,2025-01-01T05:20:41.490000,,,2025-01-01T05:59:19.127000,GOA,GONE ON ARRIVAL,N,8A03,X Canal St,70130,8,POINT (-90.06497 29.94938665)
A0027825,20,AUTO ACCIDENT,1C,20,AUTO ACCIDENT,1C,3684284,544769,2025-01-01T05:22:17.313000,,2025-01-01T06:15:35.347000,2025-01-01T06:20:19.760000,GOA,GONE ON ARRIVAL,N,3X02,Humanity St & Elysian Fields Av,70122,3,POINT (-90.05881125 29.99184286)
A0027925,MISC,MISCELLANEOUS COMPLAINT,1,MISC,MISCELLANEOUS COMPLAINT,1,0,0,2025-01-01T05:38:30.363000,,2025-01-01T05:38:30.363000,2025-01-01T06:28:39.777000,NAT,Necessary Action Taken,Y,None,Navarre & Gen Diaz,None,0,POINT (0 0)
A0028025,103,DISTURBANCE (OTHER),1C,35,SIMPLE BATTERY,2E,3679923,525482,2025-01-01T05:43:28.697000,2025-01-01T05:45:35.927000,2025-01-01T05:49:52.460000,2025-01-01T06:27:11.063000,NAT,Necessary Action Taken,N,6.00E+04,014XX Thalia St,70130,6,POINT (-90.07325782 29.93894227)
A0028125,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3667417,551234,2025-01-01T05:45:35.510000,,2025-01-01T05:45:35.510000,2025-01-01T06:18:30.203000,NAT,Necessary Action Taken,Y,3F01,Milne Blvd & Smith St,70124,3,POINT (-90.11187467 30.01012424)
A0028225,17M,MUNICIPAL ATTACHMENT,1H,17M,MUNICIPAL ATTACHMENT,1H,3672900,533108,2025-01-01T05:45:41.210000,,2025-01-01T05:45:41.210000,2025-01-01T07:14:54.127000,NAT,Necessary Action Taken,Y,1K01,028XX Perdido St,70119,1,POINT (-90.09517163 29.960123)
A0028325,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3679198,549644,2025-01-01T05:49:42.393000,2025-01-01T05:49:42.393000,2025-01-01T06:01:49.653000,2025-01-01T06:28:14.477000,DUP,DUPLICATE,N,3M04,046XX Paris Av,70122,3,POINT (-90.07470807 30.00540271)
A0028425,103,DISTURBANCE (OTHER),1C,21,COMPLAINT OTHER,1F,3697125,558593,2025-01-01T05:50:23.397000,2025-01-01T12:42:51.650000,,2025-01-01T13:59:26.943000,GOA,GONE ON ARRIVAL,N,7D02,072XX Culpepper Dr,70126,7,POINT (-90.01774874 30.02945313)
A0028525,103,DISTURBANCE (OTHER),1C,103,DISTURBANCE (OTHER),2D,3694946,557031,2025-01-01T05:50:35.607000,2025-01-01T12:38:17.600000,,2025-01-01T12:41:30.820000,VOI,VOID,N,7A04,072XX Downman Rd,70126,7,POINT (-90.02469006 30.02522856)
A0028625,22A,AREA CHECK,1K,22A,AREA CHECK,1K,3667669,550142,2025-01-01T06:01:24.377000,,2025-01-01T06:01:24.377000,2025-01-01T06:42:32.403000,NAT,Necessary Action Taken,Y,3F01,Colbert St & Bragg St,70124,3,POINT (-90.11111496 30.00711501)
A0028725,21,COMPLAINT OTHER,1,21,COMPLAINT OTHER,1F,3679023,532126,2025-01-01T06:02:35.230000,,,2025-01-01T17:52:59.220000,NAT,Necessary Action Taken,N,8J04,015XX Canal St,70112,8,POINT (-90.07586923 29.95723797)
A0028825,100,HIT & RUN,1C,100,HIT & RUN,2D,3705479,560244,2025-01-01T06:02:38.193000,,2025-01-01T07:48:05.417000,2025-01-01T08:44:41.773000,RTF,REPORT TO FOLLOW,N,7O09,Huntington Park Dr & Benson Ct,70127,7,POINT (-89.99128903 30.03372848)
A0028925,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3691741,556158,2025-01-01T06:08:38.123000,,2025-01-01T06:08:38.123000,2025-01-01T06:45:21.723000,NAT,Necessary Action Taken,Y,3V03,060XX France Rd,70126,3,POINT (-90.03484949 30.02292645)
A0029025,56,SIMPLE CRIMINAL DAMAGE,0,56,SIMPLE CRIMINAL DAMAGE,0,3699973,520034,2025-01-01T06:11:57.887000,,,2025-01-01T11:51:07.410000,RTF,REPORT TO FOLLOW,N,4D01,030XX Rue Parc Fontaine,70131,4,POINT (-90.0101572 29.92333937)
A0029125,22B,BUSINESS CHECK,1K,22B,BUSINESS CHECK,1K,3670216,548980,2025-01-01T06:14:33.527000,,2025-01-01T06:14:33.527000,2025-01-01T06:52:10.143000,NAT,Necessary Action Taken,Y,3I04,009XX Harrison Av,70124,3,POINT (-90.10310803 30.00384315)
A0029225,63,PROWLER,1A,63,PROWLER,2D,3711510,559176,2025-01-01T06:15:52.580000,,2025-01-01T10:22:12.497000,2025-01-01T10:44:21.643000,NAT,Necessary Action Taken,N,7R08,056XX Read Blvd,70127,7,POINT (-89.9722731 30.03059393)
